,district,Year,month,Visitors
929,Siddipet,2017,September,107146
1039,Siddipet,2017,October,117861
1149,Siddipet,2017,November,129647
1259,Siddipet,2017,December,142612
50,Wanaparthy ,2017,January,22152
160,Wanaparthy ,2017,February,22342
270,Wanaparthy ,2017,March,20050
380,Wanaparthy ,2017,April,11502
490,Wanaparthy ,2017,May,11502
600,Wanaparthy ,2017,June,19092
710,Wanaparthy ,2017,July,19092
820,Wanaparthy ,2017,August,21375
930,Wanaparthy ,2017,September,35860
1040,Wanaparthy ,2017,October,21234
1150,Wanaparthy ,2017,November,18348
1260,Wanaparthy ,2017,December,22152
51,Warangal (Rural),2017,January,8000
161,Warangal (Rural),2017,February,8300
271,Warangal (Rural),2017,March,7800
381,Warangal (Rural),2017,April,7600
491,Warangal (Rural),2017,May,8500
601,Warangal (Rural),2017,June,9000
711,Warangal (Rural),2017,July,13600
821,Warangal (Rural),2017,August,13650
931,Warangal (Rural),2017,September,13800
1041,Warangal (Rural),2017,October,16500
1151,Warangal (Rural),2017,November,16300
1261,Warangal (Rural),2017,December,21200
52,Warangal (Urban),2017,January,130608
162,Warangal (Urban),2017,February,126608
272,Warangal (Urban),2017,March,118298
382,Warangal (Urban),2017,April,107133
492,Warangal (Urban),2017,May,109915
602,Warangal (Urban),2017,June,111530
712,Warangal (Urban),2017,July,116545
822,Warangal (Urban),2017,August,116810
932,Warangal (Urban),2017,September,117150
1042,Warangal (Urban),2017,October,119255
1152,Warangal (Urban),2017,November,119360
1262,Warangal (Urban),2017,December,126790
53,Yadadri Bhongir,2017,January,678000
163,Yadadri Bhongir,2017,February,540500
273,Yadadri Bhongir,2017,March,525588
383,Yadadri Bhongir,2017,April,570000
493,Yadadri Bhongir,2017,May,458700
603,Yadadri Bhongir,2017,June,685880
713,Yadadri Bhongir,2017,July,481240
823,Yadadri Bhongir,2017,August,680720
933,Yadadri Bhongir,2017,September,678925
1043,Yadadri Bhongir,2017,October,683500
1153,Yadadri Bhongir,2017,November,537600
1263,Yadadri Bhongir,2017,December,481075
54,Adilabad,2018,January,320356
164,Adilabad,2018,February,36550
